Наименование,Тип,Индекс,Административный округ,Район
1,мкр,142793,Новомосковский административный округ,Десеновское поселение
1 Маевки,аллея,111395,Восточный административный округ,район Вешняки
1 Мая,ул,124365,Зеленоградский административный округ,район Крюково
1-й,мкр,142784,Новомосковский административный округ,Внуковское поселение
1-й,пр-кт,111396,Восточный административный округ,район Ивановское
1-й Автозаводский,проезд,115280,Южный административный округ,Даниловский район
1-й Автопарк,ул,142150,Троицкий административный округ ,Краснопахорское поселение
1-й Амбулаторный,проезд,125315,Северный административный округ,район Аэропорт
1-й Архивный,пер,119048,Центральный административный округ,район Хамовники
1-й Бабьегородский,пер,119049,Центральный административный округ,район Якиманка
1-й Балтийский,пер,125315,Северный административный округ,район Аэропорт
1-й Басманный,пер,,Центральный административный округ,Красносельский район
1-й Белокаменный,проезд,107564,Восточный административный округ,район Богородское
1-й Богучарский,пер,117624,Юго-Западный административный округ,район Южное Бутово
1-й Ботанический,проезд,129323,Северо-Восточный административный округ,район Свиблово
1-й Боткинский,проезд,125284,Северный административный округ,Беговой район
1-й Брянский,пер,121059,Центральный административный округ,Тверской район
1-й Варшавский,проезд,115201,Южный административный округ,район Москворечье-Сабурово
1-й Верхний Михайловский,проезд,115419,Южный административный округ,Донской район
1-й Вешняковский,проезд,109456,Юго-Восточный административный округ,Рязанский район
1-й Войковский,проезд,125171,Северный административный округ,Войковский район
1-й Волконский,пер,127473,Центральный административный округ,Тверской район
1-й Волоколамский,проезд,123060,Северо-Западный административный округ,район Щукино
1-й Вражский,пер,119121,Центральный административный округ,район Хамовники
1-й Вышеславцев,пер,127018,Северо-Восточный административный округ,район Марьина роща
1-й Вязовский,проезд,109428,Юго-Восточный административный округ,Рязанский район
1-й Голутвинский,пер,119180,Центральный административный округ,район Якиманка
1-й Гончарный,пер,115172,Центральный административный округ,Таганский район
1-й Гончаровский,пер,127254,Северо-Восточный административный округ,Бутырский район
1-й Грайвороновский,проезд,109518,Юго-Восточный административный округ,район Текстильщики
1-й Дачно-Мещерский,проезд,119618,Западный административный округ,район Солнцево
1-й Дербеневский,пер,115114,Южный административный округ,Даниловский район
1-й Добрынинский,пер,119049,Центральный административный округ,район Замоскворечье
1-й Донской,проезд,115419,Южный административный округ,Донской район
1-й Дорожный,проезд,117545,Южный административный округ,район Чертаново Центральное
1-й Дубровский,проезд,,Юго-Восточный административный округ,Южнопортовый район
1-й Заречный,пер,142191,Троицкий административный округ ,поселение Троицк
1-й Зачатьевский,пер,119034,Центральный административный округ,район Хамовники
1-й Зборовский,пер,107076,Восточный административный округ,район Преображенское
1-й Земельный,пер,123022,Центральный административный округ,Пресненский район
1-й Измайловского Зверинца,пер,105187,Восточный административный округ,район Измайлово
1-й Институтский,проезд,109428,Юго-Восточный административный округ,Рязанский район
1-й Ирининский,пер,105082,Центральный административный округ,Басманный район
1-й Иртышский,проезд,107143,Восточный административный округ,район Гольяново
1-й Кабельный,проезд,111024,Юго-Восточный административный округ,район Лефортово
1-й Кадашевский,пер,115035,Центральный административный округ,район Якиманка
1-й Казанский,просек,109428,Юго-Восточный административный округ,Рязанский район
1-й Казачий,пер,115184,Центральный административный округ,район Якиманка
1-й Капотнинский,проезд,109429,Юго-Восточный административный округ,район Капотня
1-й Капотня,кв-л,109429,Юго-Восточный административный округ,район Капотня
1-й Карачаровский,проезд,109202,Юго-Восточный административный округ,Нижегородский район
1-й Кирпичный,пер,105118,Восточный административный округ,район Соколиная Гора
1-й км Объездной Дороги,ул,142136,Троицкий административный округ ,Кленовское поселение
1-й Кожевнический,пер,115114,Южный административный округ,Даниловский район
1-й Кожуховский,проезд,115280,Южный административный округ,Даниловский район
1-й Колобовский,пер,127051,Центральный административный округ,Тверской район
1-й Коптельский,пер,129090,Центральный административный округ,Мещанский район
1-й Котельнический,пер,109240,Центральный административный округ,Таганский район
1-й Котляковский,пер,115201,Южный административный округ,район Москворечье-Сабурово
1-й Красковский,проезд,111675,Восточный административный округ,район Косино-Ухтомский
1-й Красногвардейский,проезд,,Центральный административный округ,Пресненский район
1-й Красногорский,проезд,,Северо-Западный административный округ,район Щукино
1-й Краснокурсантский,проезд,,Юго-Восточный административный округ,район Лефортово
1-й Красносельский,пер,107140,Центральный административный округ,Красносельский район
1-й Крутицкий,пер,109044,Юго-Восточный административный округ,Южнопортовый район
1-й Курьяновский,проезд,109235,Юго-Восточный административный округ,район Печатники
1-й Леонова,проезд,129226,Северо-Восточный административный округ,район Ростокино
1-й Лесной,пер,125047,Центральный административный округ,Тверской район
1-й Лесной,пер,143397,Новомосковский административный округ,Марушкинское поселение
1-й Лихачевский,пер,125438,Северный административный округ,Головинский район
1-й Лучевой,просек,107113,Восточный административный округ,район Сокольники
1-й Лыковский,проезд,123458,Северо-Западный административный округ,район Строгино
1-й Люберецкий,проезд,109153,Юго-Восточный административный округ,район Выхино-Жулебино
1-й Люсиновский,пер,119049,Центральный административный округ,район Замоскворечье
1-й Магистральный,проезд,123290,Северный административный округ,Хорошевский район
1-й Магистральный,туп,123290,Северный административный округ,Хорошевский район
1-й Марьиной Рощи,проезд,129594,Северо-Восточный административный округ,район Марьина роща
1-й Миргородский,пер,117042,Юго-Западный административный округ,район Южное Бутово
1-й Митинский,пер,,Северо-Западный административный округ,район Митино
1-й Можайский,туп,121059,Западный административный округ,район Дорогомилово
1-й Монетчиковский,пер,115054,Центральный административный округ,район Замоскворечье
1-й Нагатинский,проезд,,Южный административный округ,район Нагатино-Садовники
1-й Неопалимовский,пер,119121,Центральный административный округ,район Хамовники
1-й Нижнелихоборский,проезд,127238,Северный административный округ,Тимирязевский район
1-й Нижний Михайловский,проезд,115191,Южный административный округ,Даниловский район
1-й Николощеповский,пер,121099,Центральный административный округ,район Арбат
1-й Новокузнецкий,пер,115184,Центральный административный округ,район Замоскворечье
1-й Новомихалковский,проезд,125008,Северный административный округ,район Коптево
1-й Новоподмосковный,пер,125171,Северный административный округ,Войковский район
1-й Новотихвинский,пер,127018,Северо-Восточный административный округ,район Марьина роща
1-й Новый,пер,107140,Центральный административный округ,Красносельский район
1-й Обыденский,пер,119034,Центральный административный округ,район Хамовники
1-й Ольховский,туп,105066,Центральный административный округ,Красносельский район
1-й Очаковский,пер,119361,Западный административный округ,район Очаково-Матвеевское
1-й Павелецкий,проезд,115114,Южный административный округ,Даниловский район
1-й Павловский,пер,115093,Южный административный округ,Даниловский район
1-й Парковый,проезд,143397,Троицкий административный округ ,Первомайское поселение
1-й Пенягинский,проезд,143400,Северо-Западный административный округ,район Митино
1-й Петра Алексеева,пер,121471,Западный административный округ,Можайский район
1-й Пехотный,пер,123182,Северо-Западный административный округ,район Щукино
1-й Подбельского,проезд,107150,Восточный административный округ,район Богородское
1-й Полевой,пер,107014,Восточный административный округ,район Сокольники
1-й Поперечный,проезд,129223,Северо-Восточный административный округ,Останкинский район
1-й Раушский,пер,115035,Центральный административный округ,район Замоскворечье
1-й Рижский,пер,129626,Северо-Восточный административный округ,Алексеевский район
1-й Рощинский,проезд,,Южный административный округ,Донской район
1-й Садовый,проезд,142150,Троицкий административный округ ,Краснопахорское поселение
1-й Самотечный,пер,127473,Центральный административный округ,Тверской район
1-й Саратовский,проезд,109125,Юго-Восточный административный округ,район Текстильщики
1-й Северный,пер,143390,Новомосковский административный округ,поселение Кокошкино
1-й Сельскохозяйственный,проезд,129226,Северо-Восточный административный округ,район Ростокино
1-й Сетуньский,проезд,,Западный административный округ,район Раменки
1-й Силикатный,проезд,123007,Северо-Западный административный округ,район Хорошево-Мневники
1-й Смоленский,пер,121099,Центральный административный округ,район Арбат
1-й Спасоналивковский,пер,119049,Центральный административный округ,район Якиманка
1-й Стрелецкий,проезд,127018,Северо-Восточный административный округ,район Марьина роща
1-й Сыромятнический,пер,105120,Центральный административный округ,Басманный район
1-й Тверской-Ямской,пер,125047,Центральный административный округ,Тверской район
1-й Терновый,пер,142191,Троицкий административный округ ,поселение Троицк
1-й Тихвинский,туп,127055,Центральный административный округ,Тверской район
1-й Троицкий,пер,129090,Центральный административный округ,Мещанский район
1-й Тружеников,пер,119121,Центральный административный округ,район Хамовники
1-й Тушинский,проезд,125371,Северо-Западный административный округ,район Покровское-Стрешнево
1-й Угрешский,проезд,115088,Юго-Восточный административный округ,район Печатники
1-й Хвостов,пер,,Центральный административный округ,район Якиманка
1-й Ходынский,проезд,125252,Северный административный округ,Хорошевский район
1-й Хорошевский,проезд,125284,Северный административный округ,Хорошевский район
1-й Хуторской,пер,127287,Северный административный округ,Савеловский район
1-й Шибаевский,пер,119048,Центральный административный округ,район Хамовники
1-й Щемиловский,пер,127473,Центральный административный округ,Тверской район
1-й Щипковский,пер,115093,Южный административный округ,Даниловский район
1-й Электрозаводский,пер,107023,Восточный административный округ,район Преображенское
1-ой Дистанции пути,ул,143381,Троицкий административный округ ,поселение Киевский
1-ый,пер,143340,Троицкий административный округ ,Новофедоровское поселение
1-я Аэропортовская,ул,125319,Северный административный округ,район Аэропорт
1-я Бебеля,ул,127220,Северный административный округ,Савеловский район
1-я Белогорская,ул,117623,Юго-Западный административный округ,район Южное Бутово
1-я Боевская,ул,107076,Восточный административный округ,район Сокольники
1-я Боровская,ул,142784,Новомосковский административный округ,Внуковское поселение
1-я Бородинская,ул,121248,Западный административный округ,район Дорогомилово
1-я Брестская,ул,125047,Центральный административный округ,Тверской район
1-я Бухвостова,ул,107076,Восточный административный округ,район Преображенское
1-я Владимирская,ул,,Восточный административный округ,район Перово
1-я Внуковская,ул,119027,Западный административный округ,район Внуково
1-я Вольская,ул,,Юго-Восточный административный округ,район Некрасовка
1-я Горловская,ул,117623,Юго-Западный административный округ,район Южное Бутово
1-я Гражданская,ул,107564,Восточный административный округ,район Богородское
1-я Дубровская,ул,,Юго-Восточный административный округ,Южнопортовый район
1-я Дьяково Городище,ул,115522,Южный административный округ,район Нагатинский затон
1-я Железногорская,ул,117623,Юго-Западный административный округ,район Южное Бутово
1-я Захарковская,ул,125362,Новомосковский административный округ,Сосенское поселение
1-я Измайловского Зверинца,ул,105187,Восточный административный округ,район Измайлово
1-я Изумрудная,ул,142191,Троицкий административный округ ,поселение Троицк
1-я Институтская,ул,109428,Юго-Восточный административный округ,Рязанский район
1-я Кабельная,ул,111024,Юго-Восточный административный округ,район Лефортово
1-я Карачаровская,ул,109202,Юго-Восточный административный округ,Нижегородский район
1-я Карпатская,ул,119619,Новомосковский административный округ,Сосенское поселение
1-я Квесисская,ул,,Северный административный округ,Савеловский район
1-я Клеверная,ул,142150,Троицкий административный округ ,Краснопахорское поселение
1-я Крылатская,ул,121552,Западный административный округ,район Кунцево
1-я Курьяновская,ул,109235,Юго-Восточный административный округ,район Печатники
1-я Лазенки,ул,119619,Западный административный округ,район Ново-Переделкино
1-я Леонова,ул,129226,Северо-Восточный административный округ,район Ростокино
1-я Лесная,ул,142150,Троицкий административный округ ,Краснопахорское поселение
1-я Лукино,ул,119619,Западный административный округ,район Ново-Переделкино
1-я Лыковская,ул,123458,Северо-Западный административный округ,район Строгино
1-я Магистральная,ул,,Северный административный округ,Хорошевский район
1-я Машиностроения,ул,,Юго-Восточный административный округ,Южнопортовый район
1-я Мелитопольская,ул,117623,Юго-Западный административный округ,район Южное Бутово
1-я Миусская,ул,125047,Центральный административный округ,Тверской район
1-я Муравская,ул,125310,Северо-Западный административный округ,район Митино
1-я Мытищинская,ул,,Северо-Восточный административный округ,Алексеевский район
1-я Мясниковская,ул,107564,Восточный административный округ,район Богородское
1-я Напрудная,ул,129346,Северо-Восточный административный округ,Лосиноостровский район
1-я Научная,ул,142190,Троицкий административный округ ,поселение Троицк
1-я Нововатутинская (п Десеновское),ул,142793,Новомосковский административный округ,Сосенское поселение
1-я Новокузьминская,ул,,Юго-Восточный административный округ,Рязанский район
1-я Новоселки,ул,141411,Северный административный округ,Молжаниновский район
1-я Новые Сады,ул,119619,Западный административный округ,район Ново-Переделкино
1-я Останкинская,ул,129515,Северо-Восточный административный округ,Останкинский район
1-я Павлоградская,ул,117623,Юго-Западный административный округ,район Южное Бутово
1-я Парковая,ул,105037,Восточный административный округ,район Измайлово
1-я Пенягинская,ул,125222,Новомосковский административный округ,Сосенское поселение
1-я Подрезковская,ул,141411,Северный административный округ,Молжаниновский район
1-я Прогонная,ул,107564,Восточный административный округ,район Богородское
1-я Прядильная,ул,105037,Восточный административный округ,район Измайлово
1-я Пугачевская,ул,107553,Восточный административный округ,район Преображенское
1-я Радиальная,ул,115404,Южный административный округ,район Бирюлево Восточное
1-я Радиаторская,ул,125171,Северный административный округ,Войковский район
1-я Рейсовая,ул,119027,Западный административный округ,район Внуково
1-я Рославка,ул,125222,Северо-Западный административный округ,район Митино
1-я Рыбинская,ул,107113,Восточный административный округ,район Сокольники
1-я Северная,линия,127204,Северо-Восточный административный округ,Северный район
1-я Северодонецкая,ул,117042,Юго-Западный административный округ,район Южное Бутово
1-я Сестрорецкая,ул,141411,Северный административный округ,Молжаниновский район
1-я Синичкина,ул,111020,Юго-Восточный административный округ,район Лефортово
1-я Стекольная,ул,115404,Южный административный округ,район Бирюлево Восточное
1-я Текстильщиков,ул,,Юго-Восточный административный округ,район Текстильщики
1-я Фоминская,ул,143396,Троицкий административный округ ,Первомайское поселение
1-я Фрунзенская,ул,119146,Центральный административный округ,район Хамовники
1-я Хуторская,ул,127287,Северный административный округ,Савеловский район
1-я Чоботовская,аллея,119619,Западный административный округ,район Ново-Переделкино
1-я Энтузиастов,ул,111024,Восточный административный округ,район Перово
1-я Ямская,ул,127018,Северо-Восточный административный округ,район Марьина роща
1-я Ямского Поля,ул,125040,Северный административный округ,Беговой район
10-й Марьиной Рощи,проезд,127521,Северо-Восточный административный округ,район Марьина роща
10-летия Октября,ул,119048,Центральный административный округ,район Хамовники
10-я Новые Сады,ул,119619,Западный административный округ,район Ново-Переделкино
10-я Парковая,ул,,Восточный административный округ,район Измайлово
10-я Соколиной Горы,ул,105118,Восточный административный округ,район Соколиная Гора
10-я Чоботовская,аллея,119619,Западный административный округ,район Ново-Переделкино
11-й,пр-кт,111396,Восточный административный округ,район Перово
11-й Марьиной Рощи,проезд,129594,Северо-Восточный административный округ,район Марьина роща
11-ти Героев Саперов,аллея,121552,Западный административный округ,район Ново-Переделкино
11-я Новые Сады,ул,119619,Западный административный округ,район Ново-Переделкино
11-я Парковая,ул,,Восточный административный округ,район Измайлово
11-я Текстильщиков,ул,,Юго-Восточный административный округ,район Текстильщики
11-я Чоботовская,аллея,119619,Западный административный округ,район Ново-Переделкино
12-й Марьиной Рощи,проезд,127521,Северо-Восточный административный округ,район Марьина роща
12-я Новокузьминская,ул,109377,Юго-Восточный административный округ,Рязанский район
12-я Парковая,ул,105203,Восточный административный округ,район Восточное Измайлово
13-й Марьиной Рощи,проезд,129594,Северо-Восточный административный округ,район Марьина роща
13-я Парковая,ул,,Восточный административный округ,район Восточное Измайлово
14-й Марьиной Рощи,проезд,127521,Северо-Восточный административный округ,район Марьина роща
14-я Парковая,ул,105203,Восточный административный округ,район Восточное Измайлово
15-й Марьиной Рощи,проезд,127521,Северо-Восточный административный округ,район Марьина роща
15-я Парковая,ул,,Восточный административный округ,район Восточное Измайлово
16-я Парковая,ул,,Восточный административный округ,район Восточное Измайлово
17-й Марьиной Рощи,проезд,127521,Северо-Восточный административный округ,район Марьина роща
1812 Года,ул,121170,Западный административный округ,район Дорогомилово
1905 Года,ул,,Центральный административный округ,Пресненский район
2 Пятилетка,ул,124681,Зеленоградский административный округ,район Крюково
2-й,пр-кт,111396,Восточный административный округ,район Новогиреево
2-й Автозаводский,проезд,115280,Южный административный округ,Даниловский район
2-й Амбулаторный,проезд,125315,Северный административный округ,район Аэропорт
2-й Бабьегородский,пер,119049,Центральный административный округ,район Якиманка
2-й Балтийский,пер,125315,Северный административный округ,район Аэропорт
2-й Белокаменный,проезд,107564,Восточный административный округ,район Богородское
2-й Богатырский,пер,107564,Восточный административный округ,район Богородское
2-й Богучарский,пер,117042,Юго-Западный административный округ,район Южное Бутово
2-й Ботанический,проезд,129323,Северо-Восточный административный округ,район Свиблово
2-й Боткинский,проезд,125284,Северный административный округ,Беговой район
2-й Брянский,пер,121059,Западный административный округ,район Дорогомилово
2-й Варшавский,проезд,115201,Южный административный округ,район Москворечье-Сабурово
2-й Верхний Михайловский,проезд,115419,Южный административный округ,Донской район
2-й Войковский,проезд,125171,Северный административный округ,Войковский район
2-й Волконский,пер,127473,Центральный административный округ,Тверской район
2-й Вольный,пер,105187,Восточный административный округ,район Соколиная Гора
2-й Вражский,пер,119121,Центральный административный округ,район Хамовники
2-й Вышеславцев,пер,127018,Северо-Восточный административный округ,район Марьина роща
2-й Вязовский,проезд,109428,Юго-Восточный административный округ,Рязанский район
2-й Гончарный,пер,115172,Центральный административный округ,Таганский район
2-й Гончаровский,пер,127254,Северо-Восточный административный округ,Бутырский район
2-й Грайвороновский,проезд,109518,Юго-Восточный административный округ,Рязанский район
2-й Дачно-Мещерский,проезд,119618,Западный административный округ,район Солнцево
2-й Дербеневский,пер,115114,Южный административный округ,Даниловский район
2-й Динамовский,пер,109044,Центральный административный округ,Таганский район
2-й Добрынинский,пер,119049,Центральный административный округ,район Якиманка
2-й Донской,проезд,,Южный административный округ,Донской район
2-й Дорогобужский,пер,121471,Западный административный округ,Можайский район
2-й Зачатьевский,пер,119034,Центральный административный округ,район Хамовники
2-й Звенигородский,пер,123022,Центральный административный округ,Пресненский район
2-й Земельный,пер,123022,Центральный административный округ,Пресненский район
2-й Измайловского Зверинца,пер,105187,Восточный административный округ,район Измайлово
2-й Институтский,проезд,109428,Юго-Восточный административный округ,Рязанский район
2-й Ирининский,пер,105082,Центральный административный округ,Басманный район
2-й Иртышский,проезд,,Восточный административный округ,район Гольяново
2-й Кабельный,проезд,111024,Юго-Восточный административный округ,район Лефортово
2-й Кадашевский,пер,115035,Центральный административный округ,район Якиманка
2-й Казанский,просек,109428,Юго-Восточный административный округ,Рязанский район
2-й Казачий,пер,119180,Центральный административный округ,район Якиманка
2-й Капотнинский,проезд,109429,Юго-Восточный административный округ,район Капотня
2-й Капотня,кв-л,109429,Юго-Восточный административный округ,район Капотня
2-й Карачаровский,проезд,109202,Юго-Восточный административный округ,Нижегородский район
2-й Кленовый,пер,142191,Троицкий административный округ ,поселение Троицк
2-й Кожевнический,пер,115114,Южный административный округ,Даниловский район
2-й Кожуховский,проезд,,Южный административный округ,Даниловский район
2-й Колобовский,пер,127051,Центральный административный округ,Тверской район
2-й Коптельский,пер,129090,Центральный административный округ,Красносельский район
2-й Котельнический,пер,109240,Центральный административный округ,Таганский район
2-й Котляковский,пер,115201,Южный административный округ,район Москворечье-Сабурово
2-й Красковский,проезд,111675,Восточный административный округ,район Косино-Ухтомский
2-й Красногвардейский,проезд,123317,Центральный административный округ,Пресненский район
2-й Красногорский,проезд,123182,Северо-Западный административный округ,район Щукино
2-й Краснокурсантский,проезд,111250,Юго-Восточный административный округ,район Лефортово
2-й Красносельский,пер,107140,Центральный административный округ,Красносельский район
2-й Крестовский,пер,129110,Центральный административный округ,Мещанский район
2-й Крутицкий,пер,109044,Юго-Восточный административный округ,Южнопортовый район
2-й Курьяновский,проезд,109235,Юго-Восточный административный округ,район Печатники
2-й Лесной,пер,,Центральный административный округ,Тверской район
2-й Лихачевский,пер,125438,Северный административный округ,Головинский район
2-й Лучевой,просек,107014,Восточный административный округ,район Сокольники
2-й Люберецкий,проезд,109153,Юго-Восточный административный округ,район Выхино-Жулебино
2-й Магистральный,туп,123007,Северный административный округ,Хорошевский район
2-й Марьиной Рощи,проезд,129594,Северо-Восточный административный округ,район Марьина роща
2-й Миргородский,пер,117042,Юго-Западный административный округ,район Южное Бутово
2-й Митинский,пер,125430,Северо-Западный административный округ,район Митино
2-й Монетчиковский,пер,115054,Центральный административный округ,район Замоскворечье
2-й Мосфильмовский,пер,,Западный административный округ,район Раменки
2-й Нагатинский,проезд,,Южный административный округ,район Нагатино-Садовники
2-й Неопалимовский,пер,119121,Центральный административный округ,район Хамовники
2-й Нижнемасловский,пер,127220,Северный административный округ,Савеловский район
2-й Николощеповский,пер,121099,Центральный административный округ,район Арбат
2-й Новокузнецкий,пер,115184,Центральный административный округ,район Замоскворечье
2-й Новоподмосковный,пер,,Северный административный округ,Войковский район
2-й Новый,пер,107140,Центральный административный округ,Красносельский район
2-й Обыденский,пер,119034,Центральный административный округ,район Хамовники
2-й Очаковский,пер,119361,Западный административный округ,район Очаково-Матвеевское
2-й Павелецкий,проезд,115114,Южный административный округ,Даниловский район
2-й Павловский,пер,115093,Южный административный округ,Даниловский район
2-й Парковый,проезд,143397,Троицкий административный округ ,Первомайское поселение
2-й Пенягинский,проезд,143400,Северо-Западный административный округ,район Митино
2-й Петра Алексеева,пер,121471,Западный административный округ,Можайский район
2-й Пехотный,пер,123182,Северо-Западный административный округ,район Щукино
2-й Полевой,пер,107014,Восточный административный округ,район Сокольники
2-й Поперечный,проезд,129223,Северо-Восточный административный округ,Останкинский район
2-й Пятигорский,проезд,109428,Юго-Восточный административный округ,Рязанский район
